8 27, 2024 11:33:02 午後 org.apache.karaf.main.Main launch
情報: Installing and starting initial bundles
8 27, 2024 11:33:02 午後 org.apache.karaf.main.Main launch
情報: All initial bundles installed and set to start
8 27, 2024 11:33:02 午後 org.apache.karaf.main.lock.SimpleFileLock lock
情報: Trying to lock /Users/ynitta/Documents/sandbox/osgi-sandbox/karaf/apache-karaf-4.4.6/lock
8 27, 2024 11:33:02 午後 org.apache.karaf.main.lock.SimpleFileLock lock
情報: Lock acquired
8 27, 2024 11:33:02 午後 org.apache.karaf.main.Main$KarafLockCallback lockAcquired
情報: Lock acquired. Setting startlevel to 100
2024-08-27T23:33:04,583 | INFO  | CM Configuration Updater (Update: pid=org.ops4j.pax.logging) | EventAdminConfigurationNotifier  | 5 - org.ops4j.pax.logging.pax-logging-log4j2 - 2.2.7 | Sending Event Admin notification (configuration successful) to org/ops4j/pax/logging/Configuration
2024-08-27T23:33:05,531 | INFO  | activator-1-thread-2 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 | Adding features: package/[4.4.6,4.4.6],bundle/[4.4.6,4.4.6],feature/[4.4.6,4.4.6],deployer/[4.4.6,4.4.6],diagnostic/[4.4.6,4.4.6],ssh/[4.4.6,4.4.6],framework/[4.4.6,4.4.6],kar/[4.4.6,4.4.6],management/[4.4.6,4.4.6],eventadmin/[4.4.6,4.4.6],log/[4.4.6,4.4.6],config/[4.4.6,4.4.6],shell/[4.4.6,4.4.6],instance/[4.4.6,4.4.6],jaas/[4.4.6,4.4.6],wrap/[2.6.14,2.6.14],system/[4.4.6,4.4.6],service/[4.4.6,4.4.6]
2024-08-27T23:33:06,266 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 | Changes to perform:
2024-08-27T23:33:06,268 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   Region: root
2024-08-27T23:33:06,273 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |     Bundles to install:
2024-08-27T23:33:06,274 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.bouncycastle/bcpkix-jdk18on/1.77
2024-08-27T23:33:06,274 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.bouncycastle/bcprov-jdk18on/1.77
2024-08-27T23:33:06,275 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.bouncycastle/bcutil-jdk18on/1.77
2024-08-27T23:33:06,275 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.api/1.1.5
2024-08-27T23:33:06,275 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.core/1.1.8
2024-08-27T23:33:06,276 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.whiteboard/1.2.0
2024-08-27T23:33:06,277 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.aries/org.apache.aries.util/1.1.3
2024-08-27T23:33:06,278 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.core/4.4.6
2024-08-27T23:33:06,279 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.karaf.config/org.apache.karaf.config.command/4.4.6
2024-08-27T23:33:06,279 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.features/4.4.6
2024-08-27T23:33:06,280 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.kar/4.4.6
2024-08-27T23:33:06,282 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.wrap/4.4.6
2024-08-27T23:33:06,282 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.karaf.diagnostic/org.apache.karaf.diagnostic.core/4.4.6
2024-08-27T23:33:06,283 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.karaf/org.apache.karaf.event/4.4.6
2024-08-27T23:33:06,283 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.karaf.features/org.apache.karaf.features.command/4.4.6
2024-08-27T23:33:06,283 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.karaf.instance/org.apache.karaf.instance.core/4.4.6
2024-08-27T23:33:06,284 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.command/4.4.6
2024-08-27T23:33:06,285 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.config/4.4.6
2024-08-27T23:33:06,286 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.modules/4.4.6
2024-08-27T23:33:06,287 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.karaf.kar/org.apache.karaf.kar.core/4.4.6
2024-08-27T23:33:06,289 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.karaf.log/org.apache.karaf.log.core/4.4.6
2024-08-27T23:33:06,289 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.karaf.management/org.apache.karaf.management.server/4.4.6
2024-08-27T23:33:06,289 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.karaf.package/org.apache.karaf.package.core/4.4.6
2024-08-27T23:33:06,291 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.karaf.service/org.apache.karaf.service.core/4.4.6
2024-08-27T23:33:06,291 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.commands/4.4.6
2024-08-27T23:33:06,293 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.core/4.4.6
